Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
  1926,   0.75,   0.70, -99.99,   1.98,   0.84,   1.88,   1.06,   5.85,   0.34,   0.75, -99.99,   0.73,   0.73,   0.73, -99.99,   1.46,   0.62,   0.54,   1.26, -99.99,   0.90,   0.48,   0.62,   0.57,   0.80, -99.99, -99.99,   0.86,   1.22,   0.85,   0.78,   0.87, -99.99,   0.93,   0.77,   0.58,   0.39, -99.99,   0.93,   1.38,   1.25,   0.37,   0.58,   0.52,   0.65,   0.80,   0.82,   0.66
  1927,   0.63,   0.55, -99.99,   1.92,   0.70,   1.55,   0.89,   2.15,   0.42,   0.91, -99.99,   0.48,   0.60,   0.59, -99.99,   1.00,   0.69,   1.00,   1.25, -99.99,   0.86,   0.58,   0.54,   0.68,   0.87, -99.99, -99.99,   0.76,   1.39,   0.98,   0.94,   0.80, -99.99,   0.90,   0.78,   0.71,   0.34, -99.99,   1.21,   1.53,   2.45,   0.47,   0.70,   0.69,   0.65,   0.80,   1.12,   0.65
  1928,   0.54,   0.44, -99.99,   0.73,   0.62,   1.69,   0.83,   0.97,   0.33,   1.23, -99.99,   0.27,   0.34,   0.42, -99.99,   1.19,   0.49,   0.62,   0.96, -99.99,   0.70,   0.44,   0.35,   0.24,   0.69, -99.99, -99.99,   0.56,   1.09,   1.00,   0.68,   0.71,   0.40,   0.52,   0.43,   0.61,   0.28, -99.99,   0.77,   1.29,   0.63,   0.37,   0.57,   0.53,   0.40,   0.81,   0.81,   0.60
  1929,   0.59,   0.36, -99.99,   0.67,   0.62,   1.21,   0.52,   0.58,   0.25,   1.12, -99.99,   0.16,   0.29,   0.32, -99.99,   0.94,   0.39,   0.49,   0.70, -99.99,   0.45,   0.28,   0.27,   0.19,   0.86, -99.99, -99.99,   0.42,   1.11,   0.77,   0.46,   0.67,   0.54,   0.52,   0.26,   0.47,   0.26, -99.99,   0.51,   1.17,   0.37,   0.26,   0.49,   0.37,   0.42,   0.89,   0.83,   0.68
  1930,   0.74,   0.46, -99.99,   1.00,   1.28,   1.69,   1.02,   0.79,   0.31,   0.77, -99.99,   0.13,   0.46,   0.39,   0.79,   2.16,   0.66,   0.41,   0.88, -99.99,   0.57,   0.30,   0.61,   0.55,   0.74, -99.99, -99.99,   0.55,   1.34,   0.94,   0.40,   0.60,   1.46,   0.76,   0.29,   0.64,   0.34,   1.04,   0.63,   1.23,   1.07,   0.51,   0.72,   0.79,   0.64,   1.26,   1.66,   1.72
  1931,   1.42,   0.58, -99.99,   2.21,   1.58,   2.40,   1.29,   0.38,   0.44,   1.05, -99.99,   0.21,   0.51,   0.57,   1.38,   2.98,   1.08,   1.49,   1.48, -99.99,   1.00,   0.66,   0.77,   1.45,   1.74, -99.99, -99.99,   1.18,   2.32,   1.39,   0.55,   0.79,   2.68,   0.90,   0.45,   1.21,   0.41,   4.97,   0.73,   1.86,   1.59,   0.85,   0.97,   1.01,   0.78,   3.57,   1.73,   2.65
  1932,   2.75,   0.86, -99.99,   2.96,   1.54,   4.89,   3.69,   1.26,   0.68,   1.07, -99.99,   0.31,   0.60,   0.98,   2.24,   3.35,   2.16,   2.07,   4.16, -99.99,   2.32,   1.16,   1.31,   1.66,   4.45, -99.99, -99.99,   0.99,   6.93,   2.92,   0.93,   1.34,   1.39,   1.96,   0.83,   2.87,   0.69,   5.16,   1.26,   4.98,   3.93,   0.98,   2.18,   1.75,   1.16,   3.80,   2.78,   2.50
  1933,   2.12,   1.21, -99.99,   1.94,   1.99,   5.81,   5.54,   1.93,   0.93,   1.70, -99.99,   0.55,   0.64,   1.09,   3.34,   4.25,   2.31,   4.04,   5.15, -99.99,   2.67,   1.48,   1.54,   0.97,   4.06, -99.99, -99.99,   2.06,   8.47,   2.53,   1.11,   1.43,   3.17,   2.96,   1.02,   4.08,   1.01,   6.63,   1.58,   7.71,   6.74,   1.64,   2.51,   1.84,   0.92,   8.34,   2.29,   2.57
  1934,   0.91,   0.76, -99.99,   0.62,   0.97,   2.85,   4.36,   2.17,   0.67,   0.88, -99.99,   0.52,   0.36,   0.44,   1.35,   1.61,   0.94,   3.67,   2.08, -99.99,   1.20,   0.85,   0.61,   0.77,   1.51, -99.99, -99.99,   0.94,   5.51,   1.29,   1.55,   1.25,   3.76,   1.43,   0.48,   1.14,   0.70,   1.93,   0.72,   3.75,   1.95,   0.81,   2.58,   0.86,   0.85,   2.02,   2.26,   1.04
  1935,   0.70,   0.63, -99.99,   0.82,   0.64,   3.39,   1.54,   1.26,   0.49,   0.79, -99.99,   0.54,   0.31,   0.47,   1.07,   1.48,   0.80,   5.32,   2.30, -99.99,   0.98,   0.84,   0.61,   0.61,   1.48, -99.99, -99.99,   1.08,   4.70,   1.32,   1.93,   1.33,   2.77,   1.38,   0.51,   0.81,   0.52,   0.94,   0.61,   3.75,   1.60,   0.70,   2.61,   0.59,   0.68,   2.47,   2.85,   0.88
